,city,State,State Full
17239,occoquan,VA,Virginia
17256,triangle,VA,Virginia
17264,wdbg,VA,Virginia
17274,fort myer,VA,Virginia
17280,fdic,VA,Virginia
17333,bowling green,VA,Virginia
17338,brooke,VA,Virginia
17340,burgess,VA,Virginia
17341,burr hill,VA,Virginia
17342,callao,VA,Virginia
17344,caret,VA,Virginia
17346,center cross,VA,Virginia
17350,coles point,VA,Virginia
17352,colonial beach,VA,Virginia
17357,corbin,VA,Virginia
17358,dahlgren,VA,Virginia
17360,dogue,VA,Virginia
17361,dunnsville,VA,Virginia
17363,edwardsville,VA,Virginia
17365,garrisonville,VA,Virginia
17367,hartwood,VA,Virginia
17368,haynesville,VA,Virginia
17369,heathsville,VA,Virginia
17370,hustle,VA,Virginia
17372,jersey,VA,Virginia
17373,kilmarnock,VA,Virginia
17374,king george,VA,Virginia
17377,kinsale,VA,Virginia
17378,ladysmith,VA,Virginia
17383,laneview,VA,Virginia
17385,lively,VA,Virginia
17386,locust grove,VA,Virginia
17391,lottsburg,VA,Virginia
17393,merry point,VA,Virginia
17396,mollusk,VA,Virginia
17397,montross,VA,Virginia
17398,morattico,VA,Virginia
17400,ninde,VA,Virginia
17401,nuttsville,VA,Virginia
17402,oldhams,VA,Virginia
17403,ophelia,VA,Virginia
17404,partlow,VA,Virginia
17406,rappahannock academy,VA,Virginia
17409,reedville,VA,Virginia
17410,rhoadesville,VA,Virginia
17411,rollins fork,VA,Virginia
17413,ruther glen,VA,Virginia
17415,sealston,VA,Virginia
17416,sharps,VA,Virginia
17417,spotsylvania,VA,Virginia
17422,tappahannock,VA,Virginia
17423,thornburg,VA,Virginia
17426,village,VA,Virginia
17430,weems,VA,Virginia
17432,white stone,VA,Virginia
17434,wicomico church,VA,Virginia
17436,woodford,VA,Virginia
17437,zacata,VA,Virginia
17441,bentonville,VA,Virginia
17444,berryville,VA,Virginia
17446,boyce,VA,Virginia
17447,brucetown,VA,Virginia
17448,chester gap,VA,Virginia
17449,clear brook,VA,Virginia
17450,cross junction,VA,Virginia
17453,fishers hill,VA,Virginia
17454,flint hill,VA,Virginia
17456,front royal,VA,Virginia
17460,gore,VA,Virginia
17462,huntly,VA,Virginia
17467,markham,VA,Virginia
17468,maurertown,VA,Virginia
17473,rileyville,VA,Virginia
17474,fort valley,VA,Virginia
17479,star tannery,VA,Virginia
17480,stephens city,VA,Virginia
17481,stephenson,VA,Virginia
17482,toms brook,VA,Virginia
17483,white post,VA,Virginia
17485,culpeper,VA,Virginia
17489,aroda,VA,Virginia
17490,banco,VA,Virginia
17491,bealeton,VA,Virginia
17494,brandy station,VA,Virginia
17497,brightwood,VA,Virginia
17499,elkwood,VA,Virginia
17500,etlan,VA,Virginia
17502,goldvein,VA,Virginia
17503,haywood,VA,Virginia
17504,hood,VA,Virginia
17505,jeffersonton,VA,Virginia
17507,lignum,VA,Virginia
17518,mitchells,VA,Virginia
17519,oakpark,VA,Virginia
17520,pratts,VA,Virginia
17521,radiant,VA,Virginia
17522,rapidan,VA,Virginia
17523,remington,VA,Virginia
17524,reva,VA,Virginia
17525,richardsville,VA,Virginia
17526,rixeyville,VA,Virginia
17527,rochelle,VA,Virginia
17530,sperryville,VA,Virginia
17531,stevensburg,VA,Virginia
17532,sumerduck,VA,Virginia
17533,syria,VA,Virginia
17534,viewtown,VA,Virginia
17537,wolftown,VA,Virginia
17539,harrisonburg,VA,Virginia
17543,basye,VA,Virginia
17544,bergton,VA,Virginia
17547,criders,VA,Virginia
17552,fulks run,VA,Virginia
17553,hinton,VA,Virginia
17556,keezletown,VA,Virginia
17557,lacey spring,VA,Virginia
17558,linville,VA,Virginia
17559,luray,VA,Virginia
17562,mc gaheysville,VA,Virginia
17566,mount crawford,VA,Virginia
17569,mount jackson,VA,Virginia
17571,mount solon,VA,Virginia
17574,orkney springs,VA,Virginia
17577,penn laird,VA,Virginia
17578,quicksburg,VA,Virginia
17584,singers glen,VA,Virginia
17586,timberville,VA,Virginia
17587,charlottesville,VA,Virginia
17601,arrington,VA,Virginia
17603,barboursville,VA,Virginia
17606,batesville,VA,Virginia
17607,covesville,VA,Virginia
17608,crozet,VA,Virginia
17610,dyke,VA,Virginia
17614,earlysville,VA,Virginia
17615,esmont,VA,Virginia
17616,faber,VA,Virginia
17617,fishersville,VA,Virginia
17618,free union,VA,Virginia
17620,gordonsville,VA,Virginia
17626,ivy,VA,Virginia
17628,keswick,VA,Virginia
17634,locust dale,VA,Virginia
17635,lovingston,VA,Virginia
17638,montpelier station,VA,Virginia
17640,nellysford,VA,Virginia
17642,north garden,VA,Virginia
17656,piney river,VA,Virginia
17657,quinque,VA,Virginia
17664,ruckersville,VA,Virginia
17666,schuyler,VA,Virginia
17667,shipman,VA,Virginia
17671,stanardsville,VA,Virginia
17673,tyro,VA,Virginia
17678,woodberry forest,VA,Virginia
17681,achilles,VA,Virginia
17682,amelia court house,VA,Virginia
17686,ark,VA,Virginia
17688,arvonia,VA,Virginia
17692,aylett,VA,Virginia
17693,barhamsville,VA,Virginia
17694,beaumont,VA,Virginia
17695,beaverdam,VA,Virginia
17696,bena,VA,Virginia
17697,bohannon,VA,Virginia
17698,bremo bluff,VA,Virginia
17699,bruington,VA,Virginia
17700,bumpass,VA,Virginia
17701,cardinal,VA,Virginia
17703,cartersville,VA,Virginia
17705,charles city,VA,Virginia
17706,christchurch,VA,Virginia
17707,church view,VA,Virginia
17708,cobbs creek,VA,Virginia
17711,crozier,VA,Virginia
17713,deltaville,VA,Virginia
17714,diggs,VA,Virginia
17715,doswell,VA,Virginia
17716,dutton,VA,Virginia
17717,fork union,VA,Virginia
17720,glen allen,VA,Virginia
17729,gloucester point,VA,Virginia
17733,goochland,VA,Virginia
17735,grimstead,VA,Virginia
17736,gum spring,VA,Virginia
17738,gwynn,VA,Virginia
17740,hadensville,VA,Virginia
17741,hallieford,VA,Virginia
17744,hardyville,VA,Virginia
17745,hartfield,VA,Virginia
17746,hayes,VA,Virginia
17748,henrico,VA,Virginia
17751,hudgins,VA,Virginia
17756,jetersville,VA,Virginia
17757,kents store,VA,Virginia
17758,king and queen court house,VA,Virginia
17762,king william,VA,Virginia
17763,lanexa,VA,Virginia
17764,lightfoot,VA,Virginia
17765,little plymouth,VA,Virginia
17767,locust hill,VA,Virginia
17768,louisa,VA,Virginia
17769,maidens,VA,Virginia
17771,manakin sabot,VA,Virginia
17774,mannboro,VA,Virginia
17775,manquin,VA,Virginia
17776,maryus,VA,Virginia
17777,mascot,VA,Virginia
17778,mathews,VA,Virginia
17780,mattaponi,VA,Virginia
17785,millers tavern,VA,Virginia
17787,mineral,VA,Virginia
17788,moon,VA,Virginia
17789,moseley,VA,Virginia
17790,new canton,VA,Virginia
17791,new kent,VA,Virginia
17792,new point,VA,Virginia
17794,norge,VA,Virginia
17795,north,VA,Virginia
17797,oilville,VA,Virginia
17798,onemo,VA,Virginia
17799,ordinary,VA,Virginia
17800,port haywood,VA,Virginia
17803,powhatan,VA,Virginia
17807,providence forge,VA,Virginia
17811,ruthville,VA,Virginia
17812,saint stephens church,VA,Virginia
17817,saluda,VA,Virginia
17819,sandston,VA,Virginia
17821,schley,VA,Virginia
17823,shacklefords,VA,Virginia
17826,state farm,VA,Virginia
17828,studley,VA,Virginia
17829,susan,VA,Virginia
17831,toano,VA,Virginia
17832,topping,VA,Virginia
17834,trevilians,VA,Virginia
17839,urbanna,VA,Virginia
17841,wake,VA,Virginia
17842,walkerton,VA,Virginia
17843,ware neck,VA,Virginia
17844,water view,VA,Virginia
17849,wicomico,VA,Virginia
17856,woods cross roads,VA,Virginia
17918,accomac,VA,Virginia
17919,assawoman,VA,Virginia
17921,battery park,VA,Virginia
17922,belle haven,VA,Virginia
17923,birdsnest,VA,Virginia
17924,bloxom,VA,Virginia
17925,cape charles,VA,Virginia
17926,capeville,VA,Virginia
17927,carrollton,VA,Virginia
17928,carrsville,VA,Virginia
17930,cheriton,VA,Virginia
17931,chesapeake,VA,Virginia
17934,chincoteague island,VA,Virginia
17936,wallops island,VA,Virginia
17940,craddockville,VA,Virginia
17941,davis wharf,VA,Virginia
17942,eastville,VA,Virginia
17943,exmore,VA,Virginia
17944,franktown,VA,Virginia
17946,greenbackville,VA,Virginia
17949,hacksneck,VA,Virginia
17951,hallwood,VA,Virginia
17952,harborton,VA,Virginia
17953,horntown,VA,Virginia
17954,oak hall,VA,Virginia
17955,isle of wight,VA,Virginia
17957,jenkins bridge,VA,Virginia
17959,keller,VA,Virginia
17960,locustville,VA,Virginia
17961,machipongo,VA,Virginia
17962,mappsville,VA,Virginia
17963,marionville,VA,Virginia
17964,mears,VA,Virginia
17965,melfa,VA,Virginia
17966,modest town,VA,Virginia
17967,nassawadox,VA,Virginia
17969,nelsonia,VA,Virginia
17970,new church,VA,Virginia
17971,onancock,VA,Virginia
17972,onley,VA,Virginia
17973,oyster,VA,Virginia
17974,painter,VA,Virginia
17975,parksley,VA,Virginia
17977,pungoteague,VA,Virginia
17978,quinby,VA,Virginia
17979,rescue,VA,Virginia
17981,saxis,VA,Virginia
17982,seaview,VA,Virginia
17984,suffolk,VA,Virginia
17990,tangier,VA,Virginia
17991,tasley,VA,Virginia
17992,temperanceville,VA,Virginia
17995,virginia beach,VA,Virginia
18003,vab,VA,Virginia
18006,wachapreague,VA,Virginia
18007,wardtown,VA,Virginia
18008,wattsville,VA,Virginia
18009,willis wharf,VA,Virginia
18011,withams,VA,Virginia
18024,newport news,VA,Virginia
18027,fort eustis,VA,Virginia
18033,fort monroe,VA,Virginia
18035,poquoson,VA,Virginia
18043,nasa,VA,Virginia
18044,yorktown,VA,Virginia
18051,lackey,VA,Virginia
18061,virginia state university,VA,Virginia
18065,alberta,VA,Virginia
18066,ammon,VA,Virginia
18068,boykins,VA,Virginia
18070,capron,VA,Virginia
18071,carson,VA,Virginia
18076,church road,VA,Virginia
18077,colonial heights,VA,Virginia
18081,courtland,VA,Virginia
18082,dendron,VA,Virginia
18083,dewitt,VA,Virginia
18084,dinwiddie,VA,Virginia
18085,disputanta,VA,Virginia
18086,dolphin,VA,Virginia
18087,drewryville,VA,Virginia
18088,ebony,VA,Virginia
18089,elberon,VA,Virginia
18090,emporia,VA,Virginia
18091,ford,VA,Virginia
18093,freeman,VA,Virginia
18094,gasburg,VA,Virginia
18096,ivor,VA,Virginia
18097,jarratt,VA,Virginia
18101,mc kenney,VA,Virginia
18103,meredithville,VA,Virginia
18104,newsoms,VA,Virginia
18106,prince george,VA,Virginia
18108,sedley,VA,Virginia
18109,skippers,VA,Virginia
18114,sutherland,VA,Virginia
18115,valentines,VA,Virginia
18117,warfield,VA,Virginia
18121,wilsons,VA,Virginia
18122,yale,VA,Virginia
18123,zuni,VA,Virginia
18125,farmville,VA,Virginia
18127,baskerville,VA,Virginia
18128,boydton,VA,Virginia
18131,bracey,VA,Virginia
18132,brodnax,VA,Virginia
18134,burkeville,VA,Virginia
18135,charlotte court house,VA,Virginia
18138,chase city,VA,Virginia
18140,crewe,VA,Virginia
18141,cullen,VA,Virginia
18142,dillwyn,VA,Virginia
18146,drakes branch,VA,Virginia
18147,dundas,VA,Virginia
18148,evergreen,VA,Virginia
18149,fort mitchell,VA,Virginia
18150,green bay,VA,Virginia
18152,hampden sydney,VA,Virginia
18155,kenbridge,VA,Virginia
18156,keysville,VA,Virginia
18157,la crosse,VA,Virginia
18162,meherrin,VA,Virginia
18163,nottoway,VA,Virginia
18164,pamplin,VA,Virginia
18167,phenix,VA,Virginia
18170,red house,VA,Virginia
18171,red oak,VA,Virginia
18172,rice,VA,Virginia
18173,saxe,VA,Virginia
18174,skipwith,VA,Virginia
18175,south hill,VA,Virginia
18178,victoria,VA,Virginia
18179,wylliesburg,VA,Virginia
18180,roanoke,VA,Virginia
18197,ararat,VA,Virginia
18198,axton,VA,Virginia
18199,bassett,VA,Virginia
18204,belspring,VA,Virginia
18205,bent mountain,VA,Virginia
18206,blacksburg,VA,Virginia
18208,blue ridge,VA,Virginia
18209,boones mill,VA,Virginia
18213,christiansburg,VA,Virginia
18217,catawba,VA,Virginia
18218,check,VA,Virginia
18223,claudville,VA,Virginia
18224,cloverdale,VA,Virginia
18226,copper hill,VA,Virginia
18228,critz,VA,Virginia
18229,daleville,VA,Virginia
18231,eagle rock,VA,Virginia
18232,eggleston,VA,Virginia
18233,elliston,VA,Virginia
18236,ferrum,VA,Virginia
18239,fieldale,VA,Virginia
18240,fincastle,VA,Virginia
18241,floyd,VA,Virginia
18243,glade hill,VA,Virginia
18244,glen lyn,VA,Virginia
18245,goodview,VA,Virginia
18246,hardy,VA,Virginia
18247,henry,VA,Virginia
18248,huddleston,VA,Virginia
18249,indian valley,VA,Virginia
18250,mc coy,VA,Virginia
18252,meadows of dan,VA,Virginia
18254,moneta,VA,Virginia
18257,narrows,VA,Virginia
18258,newbern,VA,Virginia
18261,new river,VA,Virginia
18263,paint bank,VA,Virginia
18264,parrott,VA,Virginia
18265,patrick springs,VA,Virginia
18267,pearisburg,VA,Virginia
18269,penhook,VA,Virginia
18270,pilot,VA,Virginia
18272,radford,VA,Virginia
18275,rich creek,VA,Virginia
18276,ridgeway,VA,Virginia
18277,riner,VA,Virginia
18279,ripplemead,VA,Virginia
18282,rocky mount,VA,Virginia
18293,sandy level,VA,Virginia
18294,shawsville,VA,Virginia
18297,staffordsville,VA,Virginia
18299,stanleytown,VA,Virginia
18300,stuart,VA,Virginia
18301,thaxton,VA,Virginia
18304,union hall,VA,Virginia
18305,vesta,VA,Virginia
18306,villamont,VA,Virginia
18307,vinton,VA,Virginia
18308,wirtz,VA,Virginia
18310,woolwine,VA,Virginia
18317,appalachia,VA,Virginia
18320,bee,VA,Virginia
18321,ben hur,VA,Virginia
18322,big stone gap,VA,Virginia
18323,birchleaf,VA,Virginia
18324,blackwater,VA,Virginia
18325,castlewood,VA,Virginia
18328,clinchco,VA,Virginia
18329,clintwood,VA,Virginia
18331,coeburn,VA,Virginia
18333,dante,VA,Virginia
18337,duffield,VA,Virginia
18339,dungannon,VA,Virginia
18340,east stone gap,VA,Virginia
18342,ewing,VA,Virginia
18344,fort blackmore,VA,Virginia
18346,gate city,VA,Virginia
18348,haysi,VA,Virginia
18349,hiltons,VA,Virginia
18350,honaker,VA,Virginia
18356,keokee,VA,Virginia
18364,mendota,VA,Virginia
18365,nickelsville,VA,Virginia
18366,nora,VA,Virginia
18369,pennington gap,VA,Virginia
18372,pound,VA,Virginia
18374,rose hill,VA,Virginia
18375,saint charles,VA,Virginia
18376,saint paul,VA,Virginia
18377,weber city,VA,Virginia
18378,whitetop,VA,Virginia
18379,wise,VA,Virginia
18382,atkins,VA,Virginia
18383,austinville,VA,Virginia
18384,barren springs,VA,Virginia
18386,bastian,VA,Virginia
18391,bland,VA,Virginia
18394,broadford,VA,Virginia
18395,cana,VA,Virginia
18398,chilhowie,VA,Virginia
18399,cripple creek,VA,Virginia
18400,crockett,VA,Virginia
18401,draper,VA,Virginia
18402,dugspur,VA,Virginia
18403,elk creek,VA,Virginia
18405,emory,VA,Virginia
18406,fancy gap,VA,Virginia
18407,fries,VA,Virginia
18409,galax,VA,Virginia
18412,glade spring,VA,Virginia
18416,hiwassee,VA,Virginia
18418,independence,VA,Virginia
18419,ivanhoe,VA,Virginia
18420,lambsburg,VA,Virginia
18421,laurel fork,VA,Virginia
18428,max meadows,VA,Virginia
18431,meadowview,VA,Virginia
18433,mouth of wilson,VA,Virginia
18436,rocky gap,VA,Virginia
18437,rural retreat,VA,Virginia
18439,saltville,VA,Virginia
18440,speedwell,VA,Virginia
18443,troutdale,VA,Virginia
18445,willis,VA,Virginia
18446,woodlawn,VA,Virginia
18447,wytheville,VA,Virginia
18449,staunton,VA,Virginia
18452,augusta springs,VA,Virginia
18455,bacova,VA,Virginia
18456,blue grass,VA,Virginia
18457,brownsburg,VA,Virginia
18460,clifton forge,VA,Virginia
18466,craigsville,VA,Virginia
18467,crimora,VA,Virginia
18469,doe hill,VA,Virginia
18471,fort defiance,VA,Virginia
18472,glen wilton,VA,Virginia
18475,grottoes,VA,Virginia
18476,head waters,VA,Virginia
18477,hot springs,VA,Virginia
18484,iron gate,VA,Virginia
18488,low moor,VA,Virginia
18490,mc dowell,VA,Virginia
18492,middlebrook,VA,Virginia
18493,millboro,VA,Virginia
18496,mint spring,VA,Virginia
18497,montebello,VA,Virginia
18501,mount sidney,VA,Virginia
18502,mustoe,VA,Virginia
18506,raphine,VA,Virginia
18507,rockbridge baths,VA,Virginia
18510,selma,VA,Virginia
18511,steeles tavern,VA,Virginia
18514,stuarts draft,VA,Virginia
18515,swoope,VA,Virginia
18517,vesuvius,VA,Virginia
18518,warm springs,VA,Virginia
18520,west augusta,VA,Virginia
18521,weyers cave,VA,Virginia
18525,lynchburg,VA,Virginia
18533,altavista,VA,Virginia
18537,appomattox,VA,Virginia
18539,big island,VA,Virginia
18541,blairs,VA,Virginia
18542,brookneal,VA,Virginia
18543,buffalo junction,VA,Virginia
18545,callands,VA,Virginia
18548,clover,VA,Virginia
18549,cluster springs,VA,Virginia
18551,coleman falls,VA,Virginia
18553,crystal hill,VA,Virginia
18556,dry fork,VA,Virginia
18557,evington,VA,Virginia
18558,forest,VA,Virginia
18560,gladys,VA,Virginia
18562,goode,VA,Virginia
18563,gretna,VA,Virginia
18565,howardsville,VA,Virginia
18567,hurt,VA,Virginia
18568,java,VA,Virginia
18569,keeling,VA,Virginia
18571,lowry,VA,Virginia
18572,lynch station,VA,Virginia
18573,madison heights,VA,Virginia
18577,naruna,VA,Virginia
18578,nathalie,VA,Virginia
18584,natural bridge station,VA,Virginia
18589,rustburg,VA,Virginia
18594,spout spring,VA,Virginia
18595,sutherlin,VA,Virginia
18596,sweet briar,VA,Virginia
18597,vernon hill,VA,Virginia
18599,virgilina,VA,Virginia
18600,wingina,VA,Virginia
18601,amonate,VA,Virginia
18602,bandy,VA,Virginia
18603,big rock,VA,Virginia
18605,bishop,VA,Virginia
18606,bluefield,VA,Virginia
18608,boissevain,VA,Virginia
18609,breaks,VA,Virginia
18610,burkes garden,VA,Virginia
18612,cedar bluff,VA,Virginia
18617,doran,VA,Virginia
18618,falls mills,VA,Virginia
18619,grundy,VA,Virginia
18622,horsepen,VA,Virginia
18624,jewell ridge,VA,Virginia
18626,keen mountain,VA,Virginia
18627,mavisdale,VA,Virginia
18628,maxie,VA,Virginia
18630,north tazewell,VA,Virginia
18633,oakwood,VA,Virginia
18635,pilgrims knob,VA,Virginia
18636,pocahontas,VA,Virginia
18637,pounding mill,VA,Virginia
18639,raven,VA,Virginia
18640,red ash,VA,Virginia
18641,richlands,VA,Virginia
18643,shortt gap,VA,Virginia
18644,swords creek,VA,Virginia
18647,tazewell,VA,Virginia
18650,vansant,VA,Virginia
18651,whitewood,VA,Virginia
18652,wolford,VA,Virginia
18663,beeson,WV,West Virginia
18664,bramwell,WV,West Virginia
18665,bud,WV,West Virginia
18666,covel,WV,West Virginia
18670,hiawatha,WV,West Virginia
18671,kegley,WV,West Virginia
18672,kellysville,WV,West Virginia
18673,lashmeet,WV,West Virginia
18674,matoaka,WV,West Virginia
18677,montcalm,WV,West Virginia
18678,nemours,WV,West Virginia
18682,rock,WV,West Virginia
18685,wolfe,WV,West Virginia
18686,welch,WV,West Virginia
18695,anawalt,WV,West Virginia
18699,bartley,WV,West Virginia
18700,berwind,WV,West Virginia
18703,big sandy,WV,West Virginia
18704,bradshaw,WV,West Virginia
18705,brenton,WV,West Virginia
18706,clear fork,WV,West Virginia
18707,coal mountain,WV,West Virginia
18708,cucumber,WV,West Virginia
18710,davy,WV,West Virginia
18713,eckman,WV,West Virginia
18714,elbert,WV,West Virginia
18716,elkhorn,WV,West Virginia
18717,fanrock,WV,West Virginia
18718,gary,WV,West Virginia
18720,hensley,WV,West Virginia
18721,iaeger,WV,West Virginia
18723,ikes fork,WV,West Virginia
18724,isaban,WV,West Virginia
18725,itmann,WV,West Virginia
18726,jenkinjones,WV,West Virginia
18727,jesse,WV,West Virginia
18728,jolo,WV,West Virginia
18729,justice,WV,West Virginia
18730,kimball,WV,West Virginia
18732,kopperston,WV,West Virginia
18733,kyle,WV,West Virginia
18734,lynco,WV,West Virginia
18738,matheny,WV,West Virginia
18739,maybeury,WV,West Virginia
18741,newhall,WV,West Virginia
18742,new richmond,WV,West Virginia
18743,northfork,WV,West Virginia
18751,north spring,WV,West Virginia
18752,oceana,WV,West Virginia
18757,pageton,WV,West Virginia
18758,panther,WV,West Virginia
18759,paynesville,WV,West Virginia
18761,premier,WV,West Virginia
18762,raysal,WV,West Virginia
18764,rock view,WV,West Virginia
18765,roderfield,WV,West Virginia
18766,simon,WV,West Virginia
18767,squire,WV,West Virginia
18768,switchback,WV,West Virginia
18769,thorpe,WV,West Virginia
18770,war,WV,West Virginia
18774,warriormine,WV,West Virginia
18775,wilcoe,WV,West Virginia
18778,fairlea,WV,West Virginia
18779,alderson,WV,West Virginia
18781,arbovale,WV,West Virginia
18784,ballard,WV,West Virginia
18785,bartow,WV,West Virginia
18786,buckeye,WV,West Virginia
18788,cass,WV,West Virginia
18790,crawley,WV,West Virginia
18794,dunmore,WV,West Virginia
18800,gap mills,WV,West Virginia
18802,grassy meadows,WV,West Virginia
18804,green bank,WV,West Virginia
18810,lindside,WV,West Virginia
18811,marlinton,WV,West Virginia
18815,maxwelton,WV,West Virginia
18816,pence springs,WV,West Virginia
18817,peterstown,WV,West Virginia
18819,renick,WV,West Virginia
18822,ronceverte,WV,West Virginia
18825,secondcreek,WV,West Virginia
18826,sinks grove,WV,West Virginia
18828,smoot,WV,West Virginia
18830,talcott,WV,West Virginia
18836,waiteville,WV,West Virginia
18837,wayside,WV,West Virginia
18845,wolfcreek,WV,West Virginia
18846,alloy,WV,West Virginia
18847,alum creek,WV,West Virginia
18848,amma,WV,West Virginia
18849,arnett,WV,West Virginia
18850,artie,WV,West Virginia
18852,bancroft,WV,West Virginia
18853,belle,WV,West Virginia
18859,bickmore,WV,West Virginia
18861,bim,WV,West Virginia
18862,blair,WV,West Virginia
18863,bloomingrose,WV,West Virginia
18864,blount,WV,West Virginia
18865,blue creek,WV,West Virginia
18866,bob white,WV,West Virginia
18867,bomont,WV,West Virginia
18868,boomer,WV,West Virginia
18870,cabin creek,WV,West Virginia
18872,cannelton,WV,West Virginia
18874,charlton heights,WV,West Virginia
18877,clear creek,WV,West Virginia
18878,clendenin,WV,West Virginia
18882,clothier,WV,West Virginia
18883,colcord,WV,West Virginia
18884,comfort,WV,West Virginia
18885,costa,WV,West Virginia
18887,dawes,WV,West Virginia
18888,deep water,WV,West Virginia
18889,dixie,WV,West Virginia
18892,drybranch,WV,West Virginia
18893,dry creek,WV,West Virginia
18894,duck,WV,West Virginia
18899,east bank,WV,West Virginia
18901,eleanor,WV,West Virginia
18902,elkview,WV,West Virginia
18904,eskdale,WV,West Virginia
18910,ethel,WV,West Virginia
18911,falling rock,WV,West Virginia
18913,fraziers bottom,WV,West Virginia
18916,gallagher,WV,West Virginia
18922,gauley bridge,WV,West Virginia
18926,glen ferris,WV,West Virginia
18928,handley,WV,West Virginia
18929,hansford,WV,West Virginia
18931,hernshaw,WV,West Virginia
18932,hewett,WV,West Virginia
18933,hometown,WV,West Virginia
18934,hugheston,WV,West Virginia
18935,indore,WV,West Virginia
18936,institute,WV,West Virginia
18937,ivydale,WV,West Virginia
18939,jeffrey,WV,West Virginia
18941,kanawha falls,WV,West Virginia
18942,kimberly,WV,West Virginia
18943,kincaid,WV,West Virginia
18944,lake,WV,West Virginia
18951,lizemores,WV,West Virginia
18953,london,WV,West Virginia
18956,maysel,WV,West Virginia
18957,miami,WV,West Virginia
18959,mount carbon,WV,West Virginia
18960,naoma,WV,West Virginia
18964,nebo,WV,West Virginia
18965,nellis,WV,West Virginia
18966,nitro,WV,West Virginia
18967,orgas,WV,West Virginia
18968,ottawa,WV,West Virginia
18969,page,WV,West Virginia
18970,peytona,WV,West Virginia
18971,pinch,WV,West Virginia
18972,poca,WV,West Virginia
18974,pond gap,WV,West Virginia
18976,powellton,WV,West Virginia
18977,pratt,WV,West Virginia
18978,procious,WV,West Virginia
18981,racine,WV,West Virginia
18983,ridgeview,WV,West Virginia
18984,robson,WV,West Virginia
18986,rock creek,WV,West Virginia
18989,saxon,WV,West Virginia
18990,seth,WV,West Virginia
18993,sharples,WV,West Virginia
18994,mount olive,WV,West Virginia
18996,smithers,WV,West Virginia
18998,southside,WV,West Virginia
18999,sylvester,WV,West Virginia
19000,tad,WV,West Virginia
19001,tornado,WV,West Virginia
19004,twilight,WV,West Virginia
19006,uneeda,WV,West Virginia
19007,van,WV,West Virginia
19015,widen,WV,West Virginia
19017,winifrede,WV,West Virginia
19018,advent,WV,West Virginia
19019,arnoldsburg,WV,West Virginia
19021,chloe,WV,West Virginia
19023,cottageville,WV,West Virginia
19024,evans,WV,West Virginia
19025,gandeeville,WV,West Virginia
19027,gay,WV,West Virginia
19028,given,WV,West Virginia
19032,kenna,WV,West Virginia
19035,left hand,WV,West Virginia
19039,letart,WV,West Virginia
19040,looneyville,WV,West Virginia
19043,mason,WV,West Virginia
19045,millstone,WV,West Virginia
19047,mount alto,WV,West Virginia
19051,normantown,WV,West Virginia
19055,orma,WV,West Virginia
19057,reedy,WV,West Virginia
19061,sandyville,WV,West Virginia
19063,wallback,WV,West Virginia
19066,west columbia,WV,West Virginia
19082,bakerton,WV,West Virginia
19083,berkeley springs,WV,West Virginia
19087,bunker hill,WV,West Virginia
19088,charles town,WV,West Virginia
19089,falling waters,WV,West Virginia
19091,gerrardstown,WV,West Virginia
19092,glengary,WV,West Virginia
19093,great cacapon,WV,West Virginia
19094,halltown,WV,West Virginia
19095,harpers ferry,WV,West Virginia
19097,hedgesville,WV,West Virginia
19101,kearneysville,WV,West Virginia
19103,levels,WV,West Virginia
19105,paw paw,WV,West Virginia
19106,points,WV,West Virginia
19107,ranson,WV,West Virginia
19109,rippon,WV,West Virginia
19110,shenandoah junction,WV,West Virginia
19112,shepherdstown,WV,West Virginia
19113,slanesville,WV,West Virginia
19114,summit point,WV,West Virginia
19115,alkol,WV,West Virginia
19116,apple grove,WV,West Virginia
19119,big creek,WV,West Virginia
19120,branchland,WV,West Virginia
19123,ceredo,WV,West Virginia
19124,chapmanville,WV,West Virginia
19126,culloden,WV,West Virginia
19127,dunlow,WV,West Virginia
19128,east lynn,WV,West Virginia
19129,fort gay,WV,West Virginia
19131,gallipolis ferry,WV,West Virginia
19136,griffithsville,WV,West Virginia
19140,harts,WV,West Virginia
19143,hurricane,WV,West Virginia
19145,kenova,WV,West Virginia
19146,kiahsville,WV,West Virginia
19148,lavalette,WV,West Virginia
19149,lesage,WV,West Virginia
19150,midkiff,WV,West Virginia
19152,myra,WV,West Virginia
19153,ona,WV,West Virginia
19154,pecks mill,WV,West Virginia
19157,prichard,WV,West Virginia
19158,ranger,WV,West Virginia
19159,salt rock,WV,West Virginia
19160,scott depot,WV,West Virginia
19161,shoals,WV,West Virginia
19162,sod,WV,West Virginia
19163,spurlockville,WV,West Virginia
19165,sumerco,WV,West Virginia
19166,teays,WV,West Virginia
19168,west hamlin,WV,West Virginia
19171,yawkey,WV,West Virginia
19172,logan,WV,West Virginia
19177,accoville,WV,West Virginia
19179,amherstdale,WV,West Virginia
19181,baisden,WV,West Virginia
19182,bruno,WV,West Virginia
19183,chauncey,WV,West Virginia
19184,cora,WV,West Virginia
19185,davin,WV,West Virginia
19188,henlawson,WV,West Virginia
19190,kistler,WV,West Virginia
19191,lorado,WV,West Virginia
19193,lyburn,WV,West Virginia
19197,man,WV,West Virginia
19200,mount gay,WV,West Virginia
19201,omar,WV,West Virginia
19203,peach creek,WV,West Virginia
19204,sarah ann,WV,West Virginia
19205,stollings,WV,West Virginia
